m_name,o_name
acapulco,acapulco
antwerp,antwerp
atlanta,atlanta
auckland,auckland
australian open,melbourne
bangkok,bangkok
barcelona,barcelona
basel,basel
bastad,bastad
beijing,beijing
belgrade,belgrade
bogota,bogota
brisbane,brisbane
bucharest,bucharest
buenos aires,buenos aires
canada masters,montreal
canada masters,toronto
casablanca,casablanca
chengdu,chengdu
chennai,chennai
cincinnati masters,cincinnati
costa do sauipe,costa do sauipe
delray beach,delray beach
doha,doha
dubai,dubai
dusseldorf,dusseldorf
eastbourne,eastbourne
estoril,oeiras
estoril,estoril
geneva,geneva
gstaad,gstaad
halle,halle
hamburg,hamburg
houston,houston
indian wells masters,indian wells
istanbul,istanbul
johannesburg,johannesburg
kitzbuhel,kitzbuhel
kuala lumpur,kuala lumpur
london,queens club
london,london
los angeles,los angeles
los cabos,los cabos
madrid masters,madrid
marrakech,marrakech
marseille,marseille
memphis,memphis
metz,metz
miami masters,miami
monte carlo masters,monte carlo
montpellier,montpellier
moscow,moscow
munich,munich
new haven,new haven
newport,newport
nice,nice
nottingham,nottingham
paris masters,paris
power horse cup,dusseldorf
queen's club,queens club
quito,quito
rio de janeiro,rio de janeiro
roland garros,paris
rome masters,rome
rotterdam,rotterdam
s hertogenbosch,'s hertogenbosch
san jose,san jose
santiago,santiago
santiago,vina del mar
sao paulo,sao paulo
shanghai masters,shanghai
shenzhen,shenzhen
sofia,sofia
st. petersburg,st. petersburg
st.petersburg,st. petersburg
stockholm,stockholm
stuttgart,stuttgart
sydney,sydney
tokyo,tokyo
tour finals,london
umag,umag
us open,new york
valencia,valencia
vienna,vienna
vina del mar,vina del mar
washington,washington
wimbledon,london
winston salem,winston salem
zagreb,zagreb
