tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
1991-475,San Marino,Clay,32,A,19910729,1,101649,1,,Guillermo Perez Roldan,R,178,ARG,21.77138946,33,786,100800,,,Diego Perez,R,178,URU,29.46475017,201,153,6-0 6-1,3,R32,59,0,0,41,34,25,4,7,1,1,0,2,40,22,9,6,6,7,12
1991-475,San Marino,Clay,32,A,19910729,2,101035,,Q,Menno Oosting,R,180,NED,27.19780972,441,36,101216,,WC,Olli Rahnasto,R,183,FIN,25.58247776,548,22,6-0 6-1,3,R32,55,2,1,49,43,30,3,7,1,1,1,3,34,17,6,6,6,1,6
1991-475,San Marino,Clay,32,A,19910729,3,101534,,,Libor Nemecek,R,168,CZE,22.75427789,208,143,100536,,,Fernando Luna,R,175,ESP,33.26214921,223,119,6-2 6-1,3,R32,75,0,0,49,40,21,6,7,3,5,0,0,54,42,15,4,8,6,13
1991-475,San Marino,Clay,32,A,19910729,4,101475,,,Carlos Costa,R,183,ESP,23.26625599,142,249,101460,8,,Jose Francisco Altur,L,190,ESP,23.34565366,121,315,6-4 7-6(5),3,R32,100,1,2,74,44,31,12,11,4,7,0,4,69,46,29,9,11,3,7
1991-475,San Marino,Clay,32,A,19910729,5,101686,4,,Franco Davin,L,173,ARG,21.54414784,47,632,101876,,Q,Massimo Ardinghi,R,175,ITA,20.39698836,257,92,6-1 6-1,3,R32,55,0,2,43,29,23,7,7,1,1,0,2,44,18,6,11,7,2,7
1991-475,San Marino,Clay,32,A,19910729,6,101124,,,Paolo Cane,R,180,ITA,26.30253251,124,300,101416,,,Joao Cunha Silva,R,173,POR,23.66872005,141,253,7-6(5) 6-3,3,R32,112,6,2,77,29,19,27,11,4,7,1,4,67,35,24,11,10,2,6
1991-475,San Marino,Clay,32,A,19910729,7,101370,,,Paolo Pambianco,R,190,ITA,24.04928131,189,163,101792,,,Slava Dosedel,R,183,CZE,20.95550992,140,259,7-6(2) 4-6 6-2,3,R32,160,3,10,106,52,39,22,15,6,10,3,10,102,60,38,18,15,4,9
1991-475,San Marino,Clay,32,A,19910729,8,101746,5,,Renzo Furlan,R,175,ITA,21.19917864,51,594,101368,,,Christian Miniussi,R,185,ARG,24.06570842,161,206,6-3 6-1,3,R32,76,1,1,42,27,21,6,8,0,2,1,6,59,25,13,12,8,4,10
1991-475,San Marino,Clay,32,A,19910729,9,101243,6,,Roberto Azar,L,185,ARG,25.35523614,108,349,101031,,,Massimo Cierro,R,173,ITA,27.22518823,197,158,6-3 6-1,3,R32,45,1,0,38,32,23,5,8,0,1,0,2,49,21,12,11,8,1,6
1991-475,San Marino,Clay,32,A,19910729,10,101490,,,Daniel Orsanic,L,183,ARG,23.12936345,145,238,101420,,,Vaclav Roubicek,R,185,CZE,23.62491444,159,215,6-2 6-2,3,R32,65,4,0,49,32,27,6,8,2,3,1,6,57,37,18,7,8,4,9
